Step,x-coordinate,y-coordinate,Actions
1,0,0,F
2,0,1,F
3,0,2,F
4,0,3,F
5,0,4,F
6,0,5,RRF
7,0,4,LF
8,1,4,LF
9,1,5,RF
10,2,5,LF
11,2,6,LF
12,1,6,F
13,0,6,RF
14,0,7,F
15,0,8,F
16,0,9,RF
17,1,9,RRF
18,0,9,LF
19,0,8,LF
20,1,8,RRF
21,0,8,LF
22,0,7,LF
23,1,7,F
24,2,7,LF
25,2,8,F
26,2,9,RF
27,3,9,F
28,4,9,RRF
29,3,9,LF
30,3,8,LF
31,4,8,RRF
32,3,8,RF
33,3,9,LF
34,2,9,LF
35,2,8,F
36,2,7,RF
37,1,7,F
38,0,7,LF
39,0,6,LF
40,1,6,F
41,2,6,F
42,3,6,LF
43,3,7,RF
44,4,7,RRF
45,3,7,LF
46,3,6,LF
47,4,6,F
48,5,6,RF
49,5,5,LF
50,6,5,LF
51,6,6,RRF
52,6,5,LF
53,7,5,F
54,8,5,RRF
55,7,5,F
56,6,5,F
57,5,5,RF
58,5,6,LF
59,4,6,F
60,3,6,F
61,2,6,LF
62,2,5,LF
63,3,5,F
64,4,5,RF
65,4,4,LF
66,5,4,F
67,6,4,RF
68,6,3,LF
69,7,3,F
70,8,3,LF
71,8,4,LF
72,7,4,RRF
73,8,4,F
74,9,4,LF
75,9,5,F
76,9,6,LF
77,8,6,F
78,7,6,RRF
79,8,6,F
80,9,6,RF
81,9,5,F
82,9,4,LF
83,10,4,RF
84,10,3,LF
85,11,3,LF
86,11,4,RF
87,12,4,RF
88,12,3,LF
89,13,3,LF
90,13,4,RF
91,14,4,LF
92,14,5,RRF
93,14,4,F
94,14,3,RRF
95,14,4,LF
96,13,4,LF
97,13,3,RF
98,12,3,LF
99,12,2,LF
100,13,2,RF
101,13,1,F
102,13,0,LF
103,14,0,LF
104,14,1,F
105,14,2,RRF
106,14,1,LF
107,15,1,LF
108,15,2,RF
109,16,2,LF
110,16,3,F
111,16,4,LF
112,15,4,LF
113,15,3,RRF
114,15,4,F
115,15,5,F
116,15,6,LF
117,14,6,F
118,13,6,F
119,12,6,LF
120,12,5,LF
121,13,5,RRF
122,12,5,F
123,11,5,RRF
124,12,5,LF
125,12,6,LF
126,11,6,F
127,10,6,LF
128,10,5,RRF
129,10,6,F
130,10,7,RRF
131,10,6,LF
132,11,6,LF
133,11,7,F
134,11,8,F
135,11,9,LF
136,10,9,LF
137,10,8,RRF
138,10,9,LF
139,9,9,F
140,8,9,LF
141,8,8,LF
142,9,8,RF
143,9,7,RF
144,8,7,RRF
145,9,7,LF
146,9,8,LF
147,8,8,F
148,7,8,LF
149,7,7,RF
150,6,7,RF
151,6,8,F
152,6,9,LF
153,5,9,LF
154,5,8,F
155,5,7,RRF
156,5,8,F
157,5,9,RF
158,6,9,RF
159,6,8,F
160,6,7,LF
161,7,7,LF
162,7,8,RF
163,8,8,LF
164,8,9,LF
165,7,9,RRF
166,8,9,F
167,9,9,F
168,10,9,F
169,11,9,RF
170,11,8,LF
171,12,8,LF
172,12,9,RRF
173,12,8,RF
174,11,8,LF
175,11,7,F
176,11,6,LF
177,12,6,LF
178,12,7,RRF
179,12,6,LF
180,13,6,LF
181,13,7,RF
182,14,7,RRF
183,13,7,LF
184,13,6,LF
185,14,6,F
186,15,6,F
187,16,6,RRF
188,15,6,LF
189,15,5,F
190,15,4,LF
191,16,4,LF
192,16,5,RF
193,17,5,F
194,18,5,LF
195,18,6,LF
196,17,6,RF
197,17,7,LF
198,16,7,F
199,15,7,RF
200,15,8,F
201,15,9,LF
202,14,9,LF
203,14,8,RF
204,13,8,RF
205,13,9,RRF
206,13,8,LF
207,14,8,LF
208,14,9,RF
209,15,9,RF
210,15,8,LF
211,16,8,LF
212,16,9,RF
213,17,9,F
214,18,9,F
